TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,4,0,0.65,4.65,1
1,6,0,0.0,6.25,0
2,4,0,0.0,4.45,1
3,4,0,0.0,4.0,0
4,13,0,0.0,13.0,1
5,3,0,0.15,3.15,0
6,5,0,0.7,5.7,0
7,10,0,0.3,10.299999999999999,0
8,11,0,0.0,11.0,0
9,7,0,0.5,8.2,1
10,22,0,0.7,22.7,1
11,14,0,0.0,14.0,1
12,13,0,0.0,13.0,0
13,5,0,0.7,5.7,0
14,15,0,0.0,15.0,1
15,17,0,0.0,17.0,0
16,4,0,0.1,4.1,0
17,2,0,0.0,1.9999999999999998,1
18,5,0,0.0,6.0,0
19,11,0,0.0,11.0,0
20,6,0,0.0,6.0,0
21,7,0,0.0,7.0,0
22,4,0,0.35,4.7,0
23,13,0,0.0,13.0,1
24,9,0,0.35,9.35,0
25,2,0,0.0,1.9999999999999998,0
26,6,0,0.3,6.3,1
27,12,0,0.0,12.0,0
28,6,0,0.0,6.1,0
29,7,0,0.0,7.0,0
30,13,0,0.0,13.0,1
31,6,0,0.0,6.0,0
32,3,0,0.05,3.05,0
33,4,0,0.0,4.15,0
34,23,0,0.0,23.0,2
35,5,0,0.0,5.25,0
36,2,0,0.0,1.9999999999999998,0
37,13,0,0.0,13.0,0
38,9,0,0.05,9.600000000000001,1
39,5,0,0.05,5.05,0
40,11,0,0.0,11.0,0
41,13,0,0.7,13.7,1
42,5,0,0.05,5.449999999999999,0
43,2,0,0.0,2.7,0
44,10,0,0.7,10.7,0
45,13,0,0.0,13.0,1
46,9,0,0.0,9.0,0
47,6,0,0.0,6.0,0
48,11,0,0.7,11.7,0
49,4,0,0.0,4.3,1
50,3,0,0.05,3.05,0
51,11,0,0.0,11.0,0
52,4,0,0.0,4.15,0
53,2,0,0.0,1.9999999999999998,0
54,10,0,0.05,10.450000000000001,1
55,14,0,0.0,14.0,0
56,7,0,0.35,7.35,0
57,6,0,0.0,6.0,0
58,13,0,0.0,13.0,1
59,6,0,0.0,6.0,0
60,4,0,0.1,4.1,0
61,13,0,0.7,13.7,0
62,9,0,0.0,9.0,1
63,13,0,0.0,13.0,0
64,5,0,0.65,5.65,0
65,12,0,0.7,12.7,1
66,7,0,0.0,7.0,0
67,13,0,0.3,13.899999999999999,0
68,10,0,0.4,10.4,1
69,8,0,0.3,8.3,0
70,8,0,0.0,8.25,1
71,7,0,0.0,7.25,0
72,5,0,0.35,5.35,0
73,5,0,0.35,5.35,0
74,7,0,0.55,7.55,0
75,2,0,0.0,1.9999999999999998,0
76,26,0,0.0,26.0,1
77,6,0,0.0,6.0,1
78,5,0,0.7,5.7,0
79,6,0,0.0,6.0,0
80,20,0,0.0,20.0,1
81,5,0,0.35,5.35,0
82,10,0,0.5,11.149999999999999,0
83,13,0,0.0,13.0,1
84,5,0,0.0,5.550000000000001,0
85,3,0,0.05,3.05,0
86,5,0,0.05,5.4,0
87,9,0,0.0,9.0,0
88,5,0,0.65,5.65,1
89,4,0,0.0,4.0,0
90,6,0,0.0,6.35,0
91,11,0,0.0,11.0,0
92,4,0,0.0,4.3500000000000005,1
93,6,0,0.0,6.0,0
94,13,0,0.2,13.55,1
95,14,0,0.0,14.0,0
96,5,0,0.05,5.05,0
97,2,0,0.0,1.9999999999999998,0
98,13,0,0.0,13.0,1
99,13,0,0.0,13.0,0
100,7,0,0.0,7.0,0
101,13,0,0.3,13.75,0
102,12,0,0.0,12.0,2
103,24,0,0.0,24.400000000000002,2
104,6,0,0.7,6.7,0
105,23,0,0.0,23.0,1
106,8,0,0.55,8.55,0
107,10,0,0.4,10.4,1
108,12,0,0.7,12.7,0
109,4,0,0.0,4.3,0
110,1,0,0.05,1.0499999999999998,1
111,8,0,0.3,8.3,0
112,6,0,0.7,6.7,0
113,6,0,0.3,6.299999999999999,0
114,4,0,0.0,4.35,0
115,9,0,0.0,9.0,1
116,13,0,0.0,13.0,0
117,13,0,0.0,13.75,1
118,6,0,0.0,6.0,0
119,6,0,0.0,6.0,0
120,3,0,0.05,3.05,0
121,4,0,0.45,4.45,1
122,4,0,0.0,4.35,0
123,9,0,0.0,9.299999999999999,0
124,7,0,0.0,7.0,0
125,9,0,0.0,9.0,1
126,9,0,0.35,9.8,0
127,8,0,0.3,8.3,0
128,2,0,0.1,2.0999999999999996,0
129,11,0,0.0,11.0,1
130,2,0,0.0,1.9999999999999998,0
131,7,0,0.6,7.6,0
132,2,0,0.0,2.2,1
133,6,0,0.25,6.8,0
134,6,0,0.0,6.0,0
135,6,0,0.0,6.0,0
136,13,0,0.0,13.0,0
137,6,0,0.0,6.0,1
138,6,0,0.0,6.0,0
139,13,0,0.0,13.0,0
140,10,0,0.3,10.8,1
141,2,0,0.0,1.9999999999999998,0
142,8,0,0.5,8.5,0
143,14,0,0.0,14.0,0
144,1,0,0.05,1.0499999999999998,0
145,13,0,0.0,13.0,1
146,14,0,0.35,14.35,1
147,6,0,0.0,6.0,0
148,11,0,0.0,11.0,0
