TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,7,0
1,7,1
2,8,1
3,2,0
4,7,0
5,0,0
6,5,0
7,2,0
8,6,1
9,6,0
10,2,0
11,5,0
12,4,0
13,4,0
14,8,1
15,10,0
16,0,0
17,6,1
18,7,1
19,1,0
20,7,1
21,11,1
22,6,0
23,6,0
24,6,1
25,5,0
26,2,0
27,5,0
28,9,1
29,5,0
30,2,0
31,10,1
32,7,0
33,13,1
34,4,0
35,7,0
36,2,0
37,20,2
38,2,0
39,2,0
40,1,0
41,20,5
42,10,2
43,3,0
44,5,0
45,13,1
46,0,0
47,3,0
48,1,0
49,1,0
50,8,1
51,5,0
52,2,0
53,7,0
54,8,1
55,6,1
56,6,0
57,5,1
58,8,0
59,11,2
60,7,0
61,6,0
62,7,0
63,4,1
64,2,0
65,10,1
66,3,0
67,7,0
68,3,0
69,6,1
70,4,0
71,4,0
72,5,0
73,4,1
74,6,0
75,2,0
76,2,0
77,7,1
78,7,0
79,6,0
80,7,0
81,0,1
82,5,0
83,9,0
84,2,0
85,14,1
86,3,0
87,5,0
88,11,1
89,7,0
90,4,0
91,5,1
92,2,0
93,2,0
94,8,0
95,10,1
96,6,0
97,2,0
98,6,1
99,13,1
100,7,0
101,2,0
102,2,1
103,2,0
104,2,0
105,7,1
106,13,2
107,7,0
108,5,1
109,9,0
110,8,1
111,5,0
112,10,0
113,8,1
114,6,0
115,3,0
116,9,1
117,5,0
118,5,1
119,6,0
120,5,0
121,6,1
122,6,0
123,2,0
124,0,0
125,6,0
126,9,1
127,3,0
128,11,2
129,17,1
130,4,0
131,11,2
132,10,0
133,6,0
134,8,2
135,8,0
136,2,0
137,4,0
138,6,1
139,6,0
140,7,1
141,4,0
142,4,0
143,4,0
144,0,0
145,6,0
146,4,0
147,7,1
148,7,0
149,10,1
150,4,0
151,11,0
152,7,1
153,4,0
154,4,0
155,1,0
156,5,0
157,11,1
158,6,0
159,9,1
160,4,0
161,0,0
162,7,2
163,6,1
164,8,0
165,7,1
166,9,0
167,2,0
168,6,1
169,12,0
170,4,0
171,7,1
172,3,0
173,0,0
174,5,0
175,7,1
176,5,0
177,0,0
178,2,0
179,2,0
180,7,1
181,2,0
182,7,0
183,5,0
184,5,1
185,3,0
186,6,0
187,6,1
188,5,0
189,4,0
190,9,1
191,7,0
192,6,1
193,1,0
194,6,0
195,3,0
196,4,0
197,8,1
198,8,0
199,4,1
200,5,0
201,0,0
202,4,0
203,19,2
204,2,0
205,9,1
206,1,0
207,16,1
208,9,1
209,2,0
210,6,0
211,0,0
212,3,0
213,4,1
214,1,0
215,10,0
216,2,0
217,9,2
218,10,0
219,4,1
220,4,0
221,4,0
222,7,0
223,2,0
224,5,0
225,8,1
226,6,1
227,4,0
228,6,0
229,4,0
230,4,1
231,3,0
232,10,0
233,2,0
234,5,1
235,4,0
236,11,1
237,6,0
238,9,0
239,9,1
240,6,0
241,2,1
242,23,2
243,6,0
244,8,0
245,7,1
246,2,0
247,6,0
248,4,0
249,17,2
250,3,0
251,8,0
252,1,1
253,9,0
254,7,0
255,6,1
256,2,0
257,5,0
258,6,0
259,5,0
260,4,0
261,4,1
262,1,0
263,10,1
264,6,0
265,7,0
266,2,0
267,4,1
268,5,0
269,9,1
270,5,0
271,4,0
272,9,1
273,6,0
274,4,1
275,6,0
276,5,0
277,4,0
278,10,0
279,9,1
280,6,1
281,9,0
282,0,0
283,7,0
284,5,0
285,6,1
286,5,0
287,9,1
288,4,0
289,6,0
290,2,0
291,2,0
292,3,0
293,10,1
294,2,0
295,6,0
296,8,0
297,3,1
298,4,0
299,6,0
300,6,0
301,4,1
302,8,0
303,9,1
304,5,0
305,8,0
306,23,3
307,5,0
308,5,1
309,5,0
310,6,1
311,6,1
312,5,0
313,16,2
314,7,0
315,6,1
316,4,0
317,5,0
318,5,0
319,2,1
320,4,0
321,12,2
322,9,1
323,10,1
324,2,0
325,8,0
326,7,0
327,2,1
328,3,0
329,2,0
330,2,0
331,6,1
332,6,0
333,4,0
334,2,0
335,4,0
336,2,0
337,6,1
338,5,0
339,8,0
340,3,0
341,6,1
342,5,0
343,25,4
344,3,1
345,8,0
346,7,0
347,8,1
348,9,0
349,8,1
350,2,0
351,7,0
352,8,1
353,12,2
354,4,0
355,6,0
356,7,1
357,4,0
358,2,0
359,10,1
360,4,0
361,0,0
362,17,2
363,3,0
364,9,0
365,6,0
366,9,1
367,6,0
368,0,0
369,4,0
370,21,2
371,4,1
372,9,0
373,7,1
374,6,0
375,20,5
376,20,4
377,20,5
378,20,5
379,20,5
380,20,5
381,20,5
382,20,5
383,20,5
384,20,4
385,20,6
386,20,4
387,20,5
388,20,5
389,20,5
390,20,4
391,20,5
392,20,5
393,20,4
394,20,5
395,20,5
396,20,5
397,20,5
398,20,4
399,20,5
400,20,5
401,20,5
402,20,5
403,20,4
404,20,7
405,20,6
406,20,4
407,20,5
408,20,4
409,20,5
410,20,7
411,20,5
412,20,4
413,20,5
414,20,4
415,20,5
416,20,5
417,20,4
418,20,5
419,20,4
420,20,5
421,20,5
422,20,4
423,20,5
424,20,5
425,20,5
426,20,4
427,20,6
428,20,5
429,20,4
430,20,5
431,20,5
432,20,4
433,20,5
434,20,5
435,20,5
436,20,4
437,20,5
438,20,5
439,20,4
440,20,6
441,20,4
442,20,5
443,20,5
444,20,5
445,20,4
446,20,5
447,20,5
448,20,4
449,20,5
450,20,4
451,20,5
452,20,5
453,20,5
454,20,5
455,20,4
456,20,5
457,20,5
458,20,5
459,20,4
460,20,5
461,20,7
462,20,5
463,20,4
464,20,5
465,20,5
466,20,5
467,20,4
468,20,5
469,20,6
470,20,4
471,20,5
472,20,5
473,20,5
474,20,4
475,20,5
476,20,5
477,20,5
478,20,4
479,20,5
480,20,5
481,20,4
482,20,5
483,20,5
484,20,4
485,20,5
486,20,5
487,20,5
488,20,5
489,20,4
490,20,5
491,20,4
492,20,5
493,20,4
494,20,5
495,20,5
496,20,4
497,20,5
498,20,4
499,20,5
