TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,8,0,0.34,8.34,1
1,7,0,0.34,7.779999999999999,0
2,8,0,0.29,8.29,1
3,2,0,0.0,2.0999999999999996,0
4,9,0,0.44,10.07,0
5,0,0,0.0,0.0,0
6,5,0,0.59,5.59,1
7,2,0,0.0,2.1999999999999997,0
8,6,0,0.25,6.79,0
9,6,0,0.0,6.63,0
10,2,0,0.1,2.1,0
11,5,0,0.25,5.25,1
12,4,0,0.1,4.73,0
13,4,0,0.1,4.73,0
14,11,0,0.34,11.969999999999999,0
15,10,0,0.3,11.47,1
16,0,0,0.0,0.0,0
17,6,0,0.49,6.49,0
18,7,0,0.39,7.39,1
19,1,0,0.05,1.0499999999999996,0
20,7,0,0.25,7.93,0
21,12,0,0.34,12.34,1
22,6,0,0.63,6.63,0
23,7,0,0.29,7.87,1
24,8,0,0.0,8.969999999999999,0
25,8,0,0.2,8.54,1
26,2,0,0.0,2.1899999999999995,0
27,5,0,0.2,5.590000000000001,0
28,13,0,0.63,13.63,1
29,5,0,0.34,5.34,0
30,2,0,0.0,2.69,0
31,14,0,0.68,14.68,1
32,7,0,0.25,7.93,0
33,13,0,0.68,13.68,0
34,4,0,0.0,4.2,1
35,7,0,0.3,7.93,0
36,2,0,0.0,2.1499999999999995,0
37,21,0,0.2,21.2,2
38,2,0,0.0,2.69,1
39,2,0,0.1,2.0999999999999996,0
40,1,0,0.05,1.0499999999999998,0
41,26,0,0.59,26.59,3
42,16,0,0.0,16.97,1
43,3,0,0.04,3.38,0
44,5,0,0.15,5.15,0
45,15,0,0.34,16.549999999999997,2
46,0,0,0.0,0.0,0
47,4,0,0.35,4.6899999999999995,0
48,1,0,0.05,1.05,0
49,1,0,0.05,1.05,0
50,8,0,0.34,8.34,1
51,6,0,0.34,6.34,0
52,2,0,0.0,2.69,0
53,7,0,0.39,7.390000000000001,1
54,10,0,0.59,11.27,1
55,7,0,0.34,7.340000000000001,0
56,6,0,0.0,7.17,1
57,5,0,0.35,5.98,0
58,8,0,0.34,8.879999999999999,1
59,13,0,0.58,14.21,1
60,7,0,0.68,7.68,0
61,6,0,0.25,6.59,0
62,7,0,0.49,8.17,1
63,7,0,0.34,7.340000000000001,0
64,2,0,0.0,2.1999999999999997,0
65,10,0,0.2,11.469999999999999,2
66,3,0,0.05,3.73,0
67,7,0,0.25,7.9300000000000015,0
68,4,0,0.29,4.29,1
69,6,0,0.39,7.0200000000000005,0
70,4,0,0.35,4.6899999999999995,0
71,4,0,0.0,4.25,0
72,7,0,0.34,7.34,0
73,4,0,0.2,4.2,0
74,6,0,0.29,6.29,1
75,2,0,0.0,2.15,0
76,2,0,0.1,2.0999999999999996,0
77,14,0,0.68,14.68,1
78,7,0,0.68,7.68,0
79,6,0,0.0,6.340000000000001,1
80,7,0,0.59,7.59,0
81,0,0,0.0,0.0,0
82,5,0,0.34,5.34,0
83,10,0,0.24,10.87,1
84,2,0,0.0,2.69,0
85,14,0,0.63,14.63,1
86,3,0,0.2,3.2,0
87,5,0,0.63,5.63,1
88,12,0,0.68,12.68,1
89,7,0,0.25,7.93,0
90,4,0,0.1,4.1,0
91,5,0,0.25,5.25,1
92,2,0,0.0,2.34,0
93,2,0,0.0,2.2,0
94,8,0,0.49,9.17,0
95,10,0,0.0,10.2,1
96,6,0,0.63,6.63,0
97,2,0,0.0,2.6799999999999997,0
98,6,0,0.34,6.34,0
99,13,0,0.29,13.29,1
100,7,0,0.34,7.34,1
101,2,0,0.0,2.0999999999999996,0
102,2,0,0.0,2.34,0
103,4,0,0.0,4.289999999999999,0
104,2,0,0.0,2.69,0
105,7,0,0.0,7.64,1
106,14,0,0.49,14.49,1
107,7,0,0.34,7.340000000000001,0
108,5,0,0.0,5.87,0
109,9,0,0.34,9.97,1
110,14,0,0.68,14.68,0
111,7,0,0.68,7.68,0
112,11,0,0.54,11.54,1
113,8,0,0.3,8.3,0
114,6,0,0.2,6.2,0
115,5,0,0.04,5.38,1
116,10,0,0.29,10.870000000000001,0
117,6,0,0.3,6.3,1
118,5,0,0.25,5.25,0
119,6,0,0.39,7.02,0
120,5,0,0.04,5.970000000000001,1
121,9,0,0.34,9.34,0
122,6,0,0.2,6.54,0
123,2,0,0.1,2.0999999999999996,0
124,0,0,0.0,0.0,0
125,6,0,0.63,6.63,1
126,9,0,0.0,9.54,0
127,3,0,0.04,3.34,1
128,13,0,0.0,13.98,1
129,18,0,0.24,18.92,2
130,5,0,0.24,5.24,0
131,12,0,0.63,12.629999999999999,1
132,10,0,0.3,10.98,1
133,8,0,0.68,8.68,0
134,8,0,0.3,8.3,0
135,8,0,0.29,8.29,1
136,2,0,0.0,2.68,0
137,4,0,0.24,4.24,0
138,6,0,0.0,7.0200000000000005,1
139,6,0,0.0,6.289999999999999,0
140,7,0,0.2,8.27,1
141,6,0,0.0,7.320000000000001,0
142,4,0,0.35,4.6899999999999995,0
143,4,0,0.19,4.1899999999999995,1
144,0,0,0.0,0.0,0
145,6,0,0.0,6.63,0
146,4,0,0.1,4.4399999999999995,0
147,8,0,0.44,8.440000000000001,0
148,10,0,0.68,10.68,1
149,18,0,0.68,18.68,1
150,4,0,0.0,4.3,0
151,11,0,0.63,11.629999999999999,1
152,7,0,0.68,7.68,0
153,4,0,0.0,4.3,0
154,4,0,0.0,4.4399999999999995,1
155,1,0,0.05,1.05,0
156,6,0,0.63,6.63,0
157,18,0,0.68,18.68,1
158,7,0,0.34,7.340000000000001,1
159,9,0,0.04,9.379999999999999,0
160,4,0,0.0,4.15,0
161,0,0,0.0,0.0,0
162,7,0,0.3,7.64,1
163,6,0,0.63,6.63,0
164,9,0,0.49,9.49,0
165,7,0,0.34,7.34,0
166,9,0,0.24,9.629999999999999,1
167,2,0,0.0,2.25,0
168,6,0,0.25,6.88,0
169,10,0,0.2,10.54,1
170,4,0,0.19,4.1899999999999995,0
171,7,0,0.34,7.34,0
172,5,0,0.0,5.289999999999999,0
173,0,0,0.0,0.0,0
174,7,0,0.34,7.779999999999999,1
175,7,0,0.34,7.34,1
176,5,0,0.34,5.34,0
177,0,0,0.0,0.0,0
178,2,0,0.0,2.69,0
179,2,0,0.0,2.63,0
180,9,0,0.04,10.36,0
181,2,0,0.0,2.25,1
182,7,0,0.34,8.46,0
183,5,0,0.34,5.34,0
184,7,0,0.25,7.6899999999999995,1
185,3,0,0.05,3.6799999999999997,0
186,10,0,0.2,10.780000000000001,1
187,7,0,0.39,7.390000000000001,0
188,5,0,0.39,5.39,0
189,4,0,0.1,4.73,0
190,9,0,0.2,9.2,1
191,10,0,0.29,10.969999999999999,0
192,7,0,0.34,7.34,1
193,1,0,0.0,1.3900000000000001,0
194,6,0,0.24,6.87,0
195,3,0,0.04,3.67,0
196,4,0,0.0,4.34,0
197,8,0,0.68,8.68,0
198,9,0,0.34,9.97,1
199,5,0,0.25,5.25,0
200,5,0,0.34,5.34,0
201,0,0,0.0,0.0,0
202,4,0,0.1,4.4399999999999995,1
203,20,0,0.39,21.02,1
204,2,0,0.0,2.34,0
205,9,0,0.0,9.389999999999999,1
206,1,0,0.05,1.0499999999999998,0
207,18,0,0.68,18.68,1
208,11,0,0.29,11.29,0
209,2,0,0.1,2.1,0
210,6,0,0.63,6.63,1
211,0,0,0.0,0.0,0
212,3,0,0.15,3.15,0
213,4,0,0.0,4.4399999999999995,0
214,1,0,0.05,1.0499999999999998,0
215,10,0,0.39,10.390000000000002,1
216,2,0,0.0,2.0999999999999996,0
217,9,0,0.04,10.11,0
218,12,0,0.68,12.68,1
219,4,0,0.0,4.2,0
220,4,0,0.2,4.2,0
221,6,0,0.1,6.779999999999999,0
222,7,0,0.29,7.289999999999999,0
223,2,0,0.0,2.69,0
224,5,0,0.15,5.49,1
225,8,0,0.0,8.540000000000001,0
226,6,0,0.3,6.3,0
227,5,0,0.34,5.34,1
228,6,0,0.63,6.63,0
229,4,0,0.19,4.19,0
230,4,0,0.0,4.54,0
231,3,0,0.15,3.15,0
232,12,0,0.49,13.12,1
233,2,0,0.0,2.63,0
234,6,0,0.35,6.6899999999999995,0
235,4,0,0.35,4.6899999999999995,0
236,13,0,0.73,14.36,1
237,6,0,0.0,6.24,0
238,14,0,0.68,14.68,0
239,9,0,0.2,10.170000000000002,1
240,7,0,0.68,7.68,0
241,4,0,0.0,4.25,0
242,23,0,0.0,23.59,3
243,6,0,0.05,6.59,0
244,8,0,0.3,8.3,1
245,7,0,0.04,7.330000000000001,0
246,2,0,0.0,2.0999999999999996,0
247,8,0,0.34,8.34,0
248,4,0,0.0,4.34,1
249,18,0,0.34,18.34,1
250,3,0,0.15,3.1499999999999995,0
251,12,0,0.68,12.68,0
252,1,0,0.0,1.2,1
253,9,0,0.34,9.34,0
254,7,0,0.68,7.68,0
255,7,0,0.68,7.68,0
256,2,0,0.0,2.63,0
257,6,0,0.3,6.3,1
258,6,0,0.63,6.63,0
259,5,0,0.05,5.88,0
260,4,0,0.0,4.34,0
261,4,0,0.1,4.3999999999999995,1
262,1,0,0.05,1.0499999999999998,0
263,11,0,0.25,12.18,2
264,6,0,0.44,6.44,0
265,7,0,0.34,7.340000000000001,0
266,2,0,0.0,2.59,1
267,5,0,0.34,5.34,0
268,5,0,0.25,5.25,0
269,11,0,0.34,11.969999999999999,1
270,5,0,0.49,6.17,0
271,4,0,0.35,4.6899999999999995,0
272,9,0,0.34,10.020000000000001,1
273,6,0,0.24,6.87,0
274,6,0,0.3,6.3,1
275,6,0,0.0,6.59,0
276,5,0,0.15,5.49,0
277,4,0,0.39,4.390000000000001,1
278,10,0,0.68,10.68,0
279,9,0,0.39,10.02,1
280,6,0,0.63,6.63,0
281,9,0,0.39,10.07,1
282,0,0,0.0,0.0,0
283,7,0,0.34,7.34,0
284,5,0,0.3,5.64,1
285,6,0,0.34,6.340000000000001,0
286,6,0,0.2,6.88,0
287,11,0,0.29,11.92,1
288,5,0,0.34,5.34,0
289,6,0,0.63,6.63,1
290,2,0,0.0,2.69,0
291,2,0,0.05,2.4899999999999998,0
292,3,0,0.15,3.15,0
293,12,0,0.39,12.389999999999999,1
294,2,0,0.0,2.0999999999999996,0
295,6,0,0.35,6.6899999999999995,0
296,8,0,0.68,8.68,1
297,4,0,0.2,4.2,0
298,4,0,0.1,4.49,0
299,6,0,0.68,7.309999999999999,1
300,9,0,0.34,9.969999999999999,0
301,4,0,0.35,4.6899999999999995,0
302,8,0,0.29,8.29,1
303,10,0,0.3,10.98,1
304,5,0,0.0,5.97,0
305,9,0,0.25,9.879999999999999,1
306,28,0,0.29,28.73,2
307,5,0,0.0,6.02,1
308,5,0,0.44,5.4399999999999995,0
309,5,0,0.0,6.220000000000001,0
310,6,0,0.39,7.0200000000000005,0
311,6,0,0.49,6.49,1
312,5,0,0.04,6.06,0
313,21,0,0.68,21.68,1
314,8,0,0.39,8.39,0
315,7,0,0.29,7.970000000000001,1
316,4,0,0.19,4.19,0
317,7,0,0.39,7.390000000000001,0
318,5,0,0.25,5.25,0
319,2,0,0.0,2.63,0
320,5,0,0.25,5.25,1
321,14,0,0.68,14.68,0
322,9,0,0.49,10.17,0
