TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,2,1,0.0,3.0,0
1,3,2,0.0,5.0,0
2,4,4,0.0,8.0,1
3,3,0,0.0,3.0,0
4,5,0,0.0,5.0,0
5,2,3,0.0,5.0,0
6,2,0,0.0,2.0,0
7,4,4,0.0,8.0,1
8,3,3,0.0,6.0,0
9,4,4,0.0,8.0,0
10,7,2,0.0,9.0,1
11,1,7,0.0,8.0,0
12,2,4,0.0,6.0,0
13,2,0,0.0,2.0,0
14,1,4,0.0,5.0,1
15,6,4,0.0,10.0,0
16,4,0,0.0,4.0,0
17,4,0,0.0,4.0,0
18,0,6,0.0,6.0,0
19,2,4,0.0,6.0,1
20,3,0,0.0,3.0,0
21,0,3,0.0,3.0,0
22,3,0,0.0,3.0,0
23,4,4,0.0,8.0,0
24,4,4,0.0,8.0,0
25,3,0,0.0,3.0,0
26,4,3,0.0,7.0,1
27,0,7,0.0,7.0,0
28,1,2,0.0,3.0,0
29,4,0,0.0,4.0,0
30,3,4,0.0,7.0,0
31,3,0,0.0,3.0,0
32,3,0,0.0,3.0,0
33,3,4,0.0,7.0,1
34,10,5,0.0,15.0,1
35,0,6,0.0,6.0,0
36,4,0,0.0,4.0,0
37,5,0,0.0,5.0,0
38,4,4,0.0,8.0,1
39,0,2,0.0,2.0,0
40,3,3,0.0,6.0,1
41,5,3,0.0,8.0,0
42,4,4,0.0,8.0,1
43,2,4,0.0,6.0,0
44,0,6,0.0,6.0,0
45,3,5,0.0,8.0,2
46,6,0,0.0,6.0,0
47,1,2,0.0,3.0,0
48,2,4,0.0,6.0,0
49,4,4,0.0,8.0,1
50,3,0,0.0,3.0,0
51,0,6,0.0,6.0,1
52,3,0,0.0,3.0,0
53,4,0,0.0,4.0,0
54,3,4,0.0,7.0,1
55,5,4,0.0,9.0,1
56,2,5,0.0,7.0,0
57,3,0,0.0,3.0,0
58,4,4,0.0,8.0,1
59,3,0,0.0,3.0,0
60,4,0,0.0,4.0,0
61,5,4,0.0,9.0,1
62,0,5,0.0,5.0,0
63,4,4,0.0,8.0,1
64,2,1,0.0,3.0,0
65,0,8,0.0,8.0,1
66,4,0,0.0,4.0,0
67,8,4,0.0,12.0,1
68,3,4,0.0,7.0,0
69,3,5,0.0,8.0,1
70,4,4,0.0,8.0,0
71,0,6,0.0,6.0,1
72,3,0,0.0,3.0,0
73,6,0,0.0,6.0,0
74,3,5,0.0,8.0,1
75,4,0,0.0,4.0,0
76,14,3,0.0,17.0,3
77,3,0,0.0,3.0,0
78,3,0,0.0,3.0,0
79,3,0,0.0,3.0,0
80,5,5,0.0,10.0,1
81,1,6,0.0,7.0,0
82,4,4,0.0,8.0,1
83,4,3,0.0,7.0,0
84,3,3,0.0,6.0,1
85,3,0,0.0,3.0,0
86,6,3,0.0,9.0,1
87,0,5,0.0,5.0,0
88,3,3,0.0,6.0,1
89,4,0,0.0,4.0,0
90,5,0,0.0,5.0,1
91,4,2,0.0,6.0,0
92,4,4,0.0,8.0,1
93,3,0,0.0,3.0,0
94,7,4,0.0,11.0,2
95,4,4,0.0,8.0,1
96,0,2,0.0,2.0,0
97,4,0,0.0,4.0,0
98,3,4,0.0,7.0,0
99,4,4,0.0,8.0,1
100,0,3,0.0,3.0,0
101,4,4,0.0,8.0,1
102,0,6,0.0,6.0,0
103,14,10,0.0,24.0,4
104,3,0,0.0,3.0,0
105,10,5,0.0,15.0,2
106,0,6,0.0,6.0,0
107,4,4,0.0,8.0,2
108,3,5,0.0,8.0,1
109,4,3,0.0,7.0,0
110,3,0,0.0,3.0,0
111,4,4,0.0,8.0,1
112,4,0,0.0,4.0,0
113,5,3,0.0,8.0,1
114,3,0,0.0,3.0,0
115,0,6,0.0,6.0,1
116,6,0,0.0,6.0,0
117,5,8,0.0,13.0,1
118,3,0,0.0,3.0,0
119,3,0,0.0,3.0,1
120,4,0,0.0,4.0,0
121,2,4,0.0,6.0,0
122,3,3,0.0,6.0,0
123,0,11,0.0,11.0,1
124,4,0,0.0,4.0,0
125,0,5,0.0,5.0,0
126,3,4,0.0,7.0,1
127,6,3,0.0,9.0,1
128,3,0,0.0,3.0,0
129,2,4,0.0,6.0,0
130,4,0,0.0,4.0,0
131,4,4,0.0,8.0,1
132,4,0,0.0,4.0,0
133,1,6,0.0,7.0,0
134,3,0,0.0,3.0,0
135,3,0,0.0,3.0,0
136,3,3,0.0,6.0,1
137,1,2,0.0,3.0,1
138,0,2,0.0,2.0,0
139,6,1,0.0,7.0,2
140,8,0,0.0,8.0,1
141,3,0,0.0,3.0,0
142,3,4,0.0,7.0,1
143,4,5,0.0,9.0,0
144,3,0,0.0,3.0,0
145,8,0,0.0,8.0,2
146,7,4,0.0,11.0,0
147,3,0,0.0,3.0,0
148,0,6,0.0,6.0,1
149,5,3,0.0,8.0,1
150,8,1,0.0,9.0,2
151,3,0,0.0,3.0,0
152,3,3,0.0,6.0,1
153,4,3,0.0,7.0,0
154,0,2,0.0,2.0,0
155,3,0,0.0,3.0,0
156,6,2,0.0,8.0,1
157,4,4,0.0,8.0,0
158,2,4,0.0,6.0,0
159,5,4,0.0,9.0,2
160,0,5,0.0,5.0,0
161,3,0,0.0,3.0,1
162,18,4,0.0,22.0,2
163,3,0,0.0,3.0,0
164,4,0,0.0,4.0,0
165,4,0,0.0,4.0,0
166,18,5,0.0,23.0,3
167,8,2,0.0,10.0,4
168,4,0,0.0,4.0,1
169,2,0,0.0,2.0,0
170,2,8,0.0,10.0,1
171,4,0,0.0,4.0,0
172,3,0,0.0,3.0,0
173,4,0,0.0,4.0,0
