TraceId, total cost,ExecutionTime_TRIE_STREAMING
0,6,1
1,4,1
2,4,0
3,2,0
4,4,1
5,3,0
6,5,0
7,8,0
8,6,1
9,5,0
10,15,2
11,5,0
12,4,1
13,7,0
14,8,1
15,12,3
16,2,1
17,0,0
18,7,0
19,5,1
20,3,0
21,5,0
22,4,0
23,6,1
24,7,0
25,0,0
26,6,1
27,7,0
28,6,0
29,4,0
30,6,1
31,3,0
32,1,0
33,2,0
34,15,2
35,5,1
36,0,0
37,4,0
38,7,0
39,3,0
40,3,1
41,10,0
42,5,1
43,2,0
44,6,0
45,7,1
46,7,0
47,4,0
48,7,1
49,4,0
50,1,0
51,8,1
52,2,0
53,0,0
54,8,0
55,6,1
56,7,0
57,5,1
58,9,0
59,4,0
60,2,1
61,9,0
62,2,0
63,8,1
64,7,0
65,8,1
66,2,0
67,11,2
68,8,0
69,4,1
70,3,0
71,5,0
72,5,0
73,3,1
74,9,0
75,0,0
76,20,7
77,3,0
78,4,0
79,4,0
80,13,1
81,5,0
82,5,1
83,4,0
84,5,0
85,1,0
86,5,1
87,4,0
88,3,0
89,2,0
90,4,0
91,8,1
92,2,0
93,1,0
94,13,1
95,7,1
96,3,0
97,0,0
98,9,0
99,7,1
100,6,0
101,11,1
102,5,0
103,26,3
104,7,0
105,10,1
106,6,0
107,9,1
108,9,0
109,2,1
110,1,0
111,6,0
112,8,0
113,8,1
114,4,0
115,9,0
116,5,0
117,12,1
118,5,0
119,2,0
120,1,1
121,6,0
122,4,0
123,9,1
124,4,0
125,7,1
126,7,0
127,8,1
128,2,0
129,7,0
130,0,0
131,5,0
132,2,1
133,6,0
134,6,0
135,2,0
136,5,0
137,4,0
138,4,1
139,8,0
140,10,0
141,0,0
142,6,1
143,7,1
144,1,0
145,7,1
146,11,0
147,6,1
148,6,0
149,6,1
150,5,0
151,2,0
152,5,0
153,9,1
154,5,0
155,2,0
156,10,1
157,7,0
158,13,1
159,4,0
160,7,0
161,2,0
162,20,2
163,2,0
164,2,0
165,1,1
166,20,4
167,10,2
168,3,0
169,5,0
170,13,1
171,0,0
172,3,0
173,1,0
174,1,0
175,8,1
176,5,0
177,2,1
178,7,0
179,8,1
180,6,0
181,6,1
182,5,0
183,8,1
184,11,1
185,7,1
186,6,0
187,7,0
188,4,1
189,2,0
190,10,0
191,3,1
192,7,0
193,3,0
194,6,1
195,4,0
196,4,0
197,5,1
