TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,1,0,0.0,1.0,0
1,3,1,0.0,4.0,16
2,4,4,0.0,8.0,0
3,2,0,0.0,2.0,0
4,3,4,0.0,7.0,0
5,5,3,0.0,8.0,0
6,2,0,0.0,2.0,0
7,4,4,0.0,8.0,0
8,7,0,0.0,7.0,0
9,8,0,0.0,8.0,0
10,5,4,0.0,9.0,0
11,8,0,0.0,8.0,0
12,3,4,0.0,7.0,0
13,2,0,0.0,2.0,0
14,1,4,0.0,5.0,0
15,6,4,0.0,10.0,0
16,1,0,0.0,1.0,0
17,2,0,0.0,2.0,0
18,6,0,0.0,6.0,0
19,2,4,0.0,6.0,0
20,3,0,0.0,3.0,0
21,1,0,0.0,1.0,0
22,1,0,0.0,1.0,0
23,4,4,0.0,8.0,0
24,7,0,0.0,7.0,0
25,2,0,0.0,2.0,0
26,5,3,0.0,8.0,0
27,2,5,0.0,7.0,0
28,4,0,0.0,4.0,0
29,2,0,0.0,2.0,0
30,7,0,0.0,7.0,0
31,3,0,0.0,3.0,0
32,1,0,0.0,1.0,0
33,7,0,0.0,7.0,0
34,16,0,0.0,16.0,0
35,7,0,0.0,7.0,0
36,2,0,0.0,2.0,0
37,4,4,0.0,8.0,0
38,4,4,0.0,8.0,0
39,1,0,0.0,1.0,0
40,6,0,0.0,6.0,0
41,6,0,0.0,6.0,0
42,7,0,0.0,7.0,15
43,7,0,0.0,7.0,0
44,7,0,0.0,7.0,0
45,4,4,0.0,8.0,0
46,5,0,0.0,5.0,0
47,2,0,0.0,2.0,0
48,5,0,0.0,5.0,0
49,9,0,0.0,9.0,0
50,2,0,0.0,2.0,0
51,6,1,0.0,7.0,0
52,2,0,0.0,2.0,0
53,2,0,0.0,2.0,0
54,3,4,0.0,7.0,0
55,6,4,0.0,10.0,0
56,7,0,0.0,7.0,0
57,2,0,0.0,2.0,0
58,4,4,0.0,8.0,0
59,2,0,0.0,2.0,0
60,4,0,0.0,4.0,0
61,7,0,0.0,7.0,0
62,6,0,0.0,6.0,0
63,9,0,0.0,9.0,8
64,4,0,0.0,4.0,0
65,8,0,0.0,8.0,0
66,1,0,0.0,1.0,0
67,8,4,0.0,12.0,0
68,9,0,0.0,9.0,0
69,8,0,0.0,8.0,0
70,5,4,0.0,9.0,0
71,8,0,0.0,8.0,0
72,2,0,0.0,2.0,0
73,8,0,0.0,8.0,0
74,9,0,0.0,9.0,0
75,2,0,0.0,2.0,0
76,11,4,0.0,15.0,8
77,2,0,0.0,2.0,0
78,2,0,0.0,2.0,0
79,1,0,0.0,1.0,0
80,11,0,0.0,11.0,0
81,6,0,0.0,6.0,0
82,4,4,0.0,8.0,0
83,8,0,0.0,8.0,0
84,4,4,0.0,8.0,0
85,2,0,0.0,2.0,0
86,7,0,0.0,7.0,0
87,4,0,0.0,4.0,0
88,4,4,0.0,8.0,0
89,2,0,0.0,2.0,0
90,7,0,0.0,7.0,0
91,4,2,0.0,6.0,0
92,4,4,0.0,8.0,0
93,2,0,0.0,2.0,0
94,7,4,0.0,11.0,0
95,8,0,0.0,8.0,0
96,1,0,0.0,1.0,0
97,2,0,0.0,2.0,0
98,4,4,0.0,8.0,16
99,5,4,0.0,9.0,0
100,4,0,0.0,4.0,0
