TraceId, Conformance cost, Completeness cost, Confidence cost, total cost, ExecutionTime_TRIE_STREAMING_TRIPLECOCC
0,1,0,0.0,1.0,0
1,2,0,0.0,2.0,0
2,6,0,0.0,6.0,1
3,1,0,0.0,1.0,0
4,6,0,0.0,6.0,0
5,6,0,0.0,6.0,1
6,1,0,0.7,1.7,0
7,10,0,0.0,10.0,0
8,4,0,0.0,4.0,0
9,7,0,0.0,7.0,0
10,15,0,0.7,15.7,1
11,7,0,0.0,7.0,0
12,6,0,0.0,6.0,1
13,2,0,0.7,2.7,0
14,8,0,0.0,8.0,0
15,10,0,0.0,10.0,0
16,1,0,0.0,1.0,0
17,1,0,0.0,1.0,0
18,6,0,0.45,7.15,0
19,4,0,0.0,4.0,0
20,1,0,0.0,1.0,0
21,1,0,0.0,1.0,1
22,1,0,0.0,1.0,0
23,6,0,0.0,6.0,0
24,6,0,0.0,6.0,0
25,1,0,0.0,1.0,0
26,6,0,0.0,6.0,0
27,5,0,0.0,5.0,0
28,1,0,0.0,1.0,0
29,1,0,0.0,1.0,0
30,6,0,0.0,6.0,0
31,1,0,0.0,1.0,0
32,1,0,0.0,1.0,0
33,6,0,0.0,6.0,0
34,16,0,0.0,16.0,2
35,4,0,0.0,4.0,0
36,1,0,0.0,1.0,0
37,6,0,0.0,6.0,0
38,6,0,0.0,6.0,0
39,1,0,0.0,1.0,0
40,4,0,0.0,4.0,0
41,6,0,0.7,6.7,0
42,5,0,0.7,5.7,1
43,6,0,0.0,6.0,0
44,3,0,0.7,3.7,0
45,6,0,0.0,6.0,0
46,2,0,0.0,2.0,0
47,1,0,0.0,1.0,0
48,5,0,0.0,5.0,0
49,7,0,0.7,7.7,0
50,1,0,0.0,1.0,0
51,4,0,0.0,4.0,0
52,1,0,0.0,1.0,0
53,1,0,0.0,1.0,0
54,10,0,0.0,10.0,1
55,7,0,0.0,7.0,0
56,6,0,0.0,6.0,0
57,1,0,0.0,1.0,0
58,6,0,0.0,6.0,0
59,1,0,0.0,1.0,0
60,1,0,0.0,1.0,0
61,6,0,0.7,6.7,0
62,2,0,0.0,2.0,1
63,6,0,0.0,6.0,0
64,1,0,0.0,1.0,0
65,7,0,0.7,7.7,0
66,1,0,0.0,1.0,0
67,13,0,0.0,13.0,1
68,8,0,0.7,8.7,0
69,6,0,0.0,6.0,0
70,7,0,0.0,7.0,0
71,4,0,0.0,4.0,0
72,1,0,0.0,1.0,0
73,4,0,0.0,4.0,0
74,8,0,0.7,8.7,1
75,1,0,0.0,1.0,0
76,19,0,0.0,19.0,1
77,1,0,0.0,1.0,0
78,1,0,0.0,1.0,0
79,1,0,0.0,1.0,0
80,13,0,0.0,13.0,0
81,3,0,0.7,3.7,0
82,10,0,0.0,10.0,1
83,6,0,0.0,6.0,0
84,7,0,0.0,7.0,0
85,1,0,0.0,1.0,0
86,6,0,0.0,6.0,0
87,2,0,0.0,2.0,0
88,4,0,0.0,4.0,0
89,1,0,0.0,1.0,0
90,6,0,0.0,6.0,1
